NAMA_WP,Kategori,Total_Omset_12Bulan,Total_Pajak_12Bulan,Efektivitas_Pajak,Risk_Label,prediction,Segmentasi
PT FORE KOPI INDONESIA,Cafe,475445086,58114284.115871705,12.223132462682727,0,0,Silver (Small)
HOTEL RAMAYANA RESTO,Hotel,204246774,23818010.950247135,11.661388370756118,0,0,Silver (Small)
PT. NUSA PRIMA PANGAN,Resto Umum,21870495820,2547623525.655341,11.648677493300195,0,1,Platinum (Big Fish)
KFC. ASIA PLAZA,Fast Food,9857825420,1148390138.9224968,11.649528051030888,0,2,Gold (Middle)
KFC. MAYASARI PLAZA,Fast Food,5277825920,614811690.7749513,11.648957330087091,0,2,Gold (Middle)
MC. DONALDS MAYASARI PLAZA,Resto Umum,1685956642,196501331.62764078,11.655182899360636,0,0,Silver (Small)
PIZZA HUT,Fast Food,11055921560,1288318646.430692,11.652747697609048,0,1,Platinum (Big Fish)
KAFETARIA ASRI,Cafe,2520685090,293613542.7982913,11.648164325060993,0,0,Silver (Small)
SAMUDRA RESTO,Resto Umum,424898280,49522295.205069676,11.655093968951439,0,0,Silver (Small)
RESTORAN HAPPY SUKI,Resto Umum,759616100,88484492.35304438,11.648580244048903,0,0,Silver (Small)
MC. DONALD ASIA PLAZA,Resto Umum,2942348120,342867586.54079854,11.65285585386327,0,0,Silver (Small)
CFC TMC,Resto Umum,1261131474,146911306.73129854,11.649166511357606,0,0,Silver (Small)
AYAM PENYET SURABAYA,Resto Umum,1307670000,152312864.82580736,11.647652957404315,0,0,Silver (Small)
GRAND METRO RESTO,Resto Umum,971490636,113783525.87265843,11.712261575230155,0,0,Silver (Small)
ICHIBAN SUSHI,Resto Umum,8912703094,1039734035.4177666,11.66575418312567,0,2,Gold (Middle)
PT. TRANS RETAIL INDONESIA,Resto Umum,76346964,9024069.548120342,11.819812677479645,0,0,Silver (Small)
PT. NUSA PRIMA PANGAN,Resto Umum,791883140,95413807.97413442,12.048975626410904,0,0,Silver (Small)
