NO;NPWPD / NAMA WP / ALAMAT;KET.;DESEMBER;JANUARI;PEBRUARI;MARET;APRIL;MEI;JUNI;JULI;AGUSTUS;SEPTEMBER;OKTOBER;NOPEMBER;JUMLAH;STATUS
1;32.78.2.0005282.02.001 / PT FORE KOPI INDONESIA / Jl. Yudanegara No.16. Yudanagara. Kec. Cihideung. Kab. Tasikmalaya. Jawa Barat 46121 (samping kanan gacoan).;Omset; Rp- ; Rp- ; Rp- ;Rp237.722.543; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ;Rp237.722.543;AKTIF
;;Pajak; Rp- ; Rp- ; Rp- ;Rp23.772.254; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ;Rp23.772.254;
;;Setor; Rp- ; Rp- ; Rp- ;Rp23.772.254; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ;Rp23.772.254;
;;Denda; Rp- ; Rp- ; Rp- ;Rp237.723; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ;Rp237.723;
;;Setor Denda; Rp- ; Rp- ; Rp- ;Rp237.723; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ;Rp237.723;
2;32.78.1.0000004.04.005 / HOTEL RAMAYANA RESTO / JL. RE. MARTADINATA NO. 333;Omset;Rp15.705.450;Rp16.316.360;Rp9.009.090;Rp7.771.987;Rp9.019.010;Rp10.447.720;Rp9.168.180; Rp- ;Rp8.166.140;Rp9.203.140;Rp7.316.310; Rp- ;Rp102.123.387;AKTIF
;;Pajak;Rp1.570.545;Rp1.631.636;Rp900.909;Rp777.199;Rp901.901;Rp1.044.772;Rp916.818; Rp- ;Rp816.614;Rp920.314;Rp731.631; Rp- ;Rp10.212.339;
;;Setor;Rp1.570.545;Rp1.631.636;Rp900.909;Rp777.199;Rp901.901;Rp1.044.772;Rp916.818; Rp- ;Rp816.614;Rp920.314;Rp731.631; Rp- ;Rp10.212.339;
;;Denda; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ;
;;Setor Denda; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ;
3;32.78.1.0000176.02.004 / PT. NUSA PRIMA PANGAN / Jl. HZ Mustofa Kelurahan Tugujaya Kecamatan  Cihideung Kota Tasikmalaya;Omset;Rp1.031.682.930;Rp1.005.338.860;Rp929.222.450;Rp664.148.790;Rp1.208.523.520;Rp993.274.310;Rp1.069.816.030;Rp1.042.196.600;Rp1.003.765.560;Rp946.238.900;Rp1.041.039.960; Rp- ;Rp10.935.247.910;AKTIF
;;Pajak;Rp103.168.293;Rp100.533.886;Rp92.922.245;Rp66.414.879;Rp120.852.352;Rp99.327.431;Rp106.981.603;Rp104.219.660;Rp100.376.556;Rp94.623.890;Rp104.103.996; Rp- ;Rp1.093.524.791;
;;Setor;Rp103.168.293;Rp100.533.886;Rp92.922.245;Rp66.414.879;Rp120.852.352;Rp99.327.431;Rp106.981.603;Rp104.219.660;Rp100.376.556;Rp94.623.890;Rp104.103.996; Rp- ;Rp1.093.524.791;
;;Denda; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ;
;;Setor Denda; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ;
4;32.78.1.0000310.02.004 / KFC. ASIA PLAZA / Jl. HZ Mustofa Komplek Asia Plaza Kelurahan Tugujaya Kecamatan Cihideung Kota Tasikmalaya;Omset;Rp500.904.600;Rp420.164.320;Rp360.379.160;Rp503.361.040;Rp644.054.680;Rp381.999.490;Rp411.948.770;Rp399.898.800;Rp417.634.570;Rp445.948.920;Rp442.618.360; Rp- ;Rp4.928.912.710;AKTIF
;;Pajak;Rp50.090.460;Rp42.016.432;Rp36.037.916;Rp50.336.104;Rp64.405.468;Rp38.199.949;Rp41.194.877;Rp39.989.880;Rp41.763.457;Rp44.594.892;Rp44.261.836; Rp- ;Rp492.891.271;
;;Setor;Rp50.090.460;Rp42.016.432;Rp36.037.916;Rp50.336.104;Rp64.405.468;Rp38.199.949;Rp41.194.877;Rp39.989.880; Rp- ; Rp- ; Rp- ; Rp- ;Rp362.271.086;
;;Denda;Rp3.005.428;Rp2.100.822;Rp1.441.517;Rp2.516.806;Rp2.576.219;Rp1.145.999;Rp1.235.847;Rp1.199.697; Rp- ; Rp- ; Rp- ; Rp- ;Rp12.216.907;
;;Setor Denda;Rp3.005.428;Rp2.100.822;Rp1.441.517;Rp2.516.806;Rp2.576.219;Rp1.145.999;Rp1.235.847;Rp1.199.697; Rp- ; Rp- ; Rp- ; Rp- ;Rp12.216.907;
5;32.78.1.0000311.02.004 / KFC. MAYASARI PLAZA / Jl. Pasar Wetan Komplek Mayasari Plaza Kelurahan Tugujaya Kecamatan Cihideung Kota Tasikmalaya;Omset;Rp303.688.600;Rp262.090.490;Rp232.742.960;Rp207.566.910;Rp302.764.300;Rp198.814.920;Rp236.977.870;Rp233.118.420;Rp226.182.270;Rp213.059.350;Rp221.906.870; Rp- ;Rp2.638.912.960;AKTIF
;;Pajak;Rp30.368.860;Rp26.209.049;Rp23.274.296;Rp20.756.691;Rp30.276.430;Rp19.881.492;Rp23.697.787;Rp23.311.842;Rp22.618.227;Rp21.305.935;Rp22.190.687; Rp- ;Rp263.891.296;
;;Setor;Rp30.368.860;Rp26.209.049;Rp23.274.296;Rp20.756.691;Rp30.276.430;Rp19.881.492;Rp23.697.787;Rp23.311.842; Rp- ; Rp- ; Rp- ; Rp- ;Rp197.776.447;
;;Denda;Rp1.822.132;Rp1.310.453;Rp930.972;Rp1.037.835;Rp1.211.058;Rp596.445;Rp710.934;Rp699.356; Rp- ; Rp- ; Rp- ; Rp- ;Rp6.497.053;
;;Setor Denda;Rp1.822.132;Rp1.310.453;Rp930.972;Rp1.037.835;Rp1.211.058;Rp596.445;Rp710.934;Rp699.356; Rp- ; Rp- ; Rp- ; Rp- ;Rp6.497.053;
6;32.78.1.0000313.02.001 / MC. DONALDS MAYASARI PLAZA / Jl. Pasar Wetan Komplek Mayasari Plaza Kelurahan Argasari Kecamatan  Cihideung  Kota Tasikmalaya;Omset;Rp95.970.883;Rp77.704.948;Rp74.054.054;Rp40.943.454;Rp135.801.868;Rp63.209.860;Rp77.614.663;Rp98.784.240;Rp53.192.243;Rp52.590.195;Rp73.111.913; Rp- ;Rp842.978.321;AKTIF
;;Pajak;Rp9.597.088;Rp7.770.495;Rp7.405.405;Rp4.094.345;Rp13.580.187;Rp6.320.986;Rp7.761.466;Rp9.878.424;Rp5.319.224;Rp5.259.020;Rp7.311.191; Rp- ;Rp84.297.831;
;;Setor;Rp9.597.088;Rp7.770.495;Rp7.405.405;Rp4.094.345;Rp13.580.187;Rp6.320.986;Rp7.761.466;Rp9.878.424;Rp5.319.224;Rp5.259.020;Rp7.311.191; Rp- ;Rp84.297.831;
;;Denda; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ;
;;Setor Denda; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ;
